n_threads, n_matrix, n_iters, theta, time
1, 10000, 3000, 1.000000, 289.096903
1, 10000, 3000, 1.000000, 291.030126
1, 10000, 3000, 1.000000, 290.935272
1, 10000, 3000, 1.000000, 291.468173
1, 10000, 3000, 1.000000, 281.873286
2, 10000, 3000, 26.734076, 230.039641
2, 10000, 3000, 26.734076, 237.768930
2, 10000, 3000, 26.734076, 261.865650
2, 10000, 3000, 26.734076, 263.649960
2, 10000, 3000, 26.734076, 270.637085
4, 10000, 3000, 5013.153608, 137.311996
4, 10000, 3000, 5013.176053, 103.773121
4, 10000, 3000, 5013.139329, 138.044682
4, 10000, 3000, 4980.365239, 136.076647
4, 10000, 3000, 5013.176053, 150.164758
8, 10000, 3000, 1252.824109, 79.059650
8, 10000, 3000, 2738.019075, 79.264946
8, 10000, 3000, 1965.657050, 78.871693
8, 10000, 3000, 3583.148126, 77.981086
8, 10000, 3000, 478.180945, 73.727564
16, 10000, 3000, 9998.059926, 37.002491
