n_threads, n_matrix, n_iters, theta, time
1, 10000, 3000, 9998.059926, 396.935447
1, 10000, 3000, 9998.059926, 399.850150
1, 10000, 3000, 9998.059926, 410.039421
1, 10000, 3000, 9998.059926, 405.583633
1, 10000, 3000, 9998.059926, 375.753203
2, 10000, 3000, 9998.059926, 213.667300
2, 10000, 3000, 9998.059926, 228.684116
2, 10000, 3000, 9998.059926, 227.025542
2, 10000, 3000, 9998.059926, 207.243098
2, 10000, 3000, 9998.059926, 209.771241
4, 10000, 3000, 9998.059926, 103.111410
4, 10000, 3000, 9998.059926, 99.571779
4, 10000, 3000, 9998.059926, 100.482324
4, 10000, 3000, 9998.059926, 86.581564
4, 10000, 3000, 9998.059926, 83.513871
8, 10000, 3000, 9998.059926, 52.886382
8, 10000, 3000, 9998.059926, 52.850081
8, 10000, 3000, 9998.059926, 53.655227
8, 10000, 3000, 9998.059926, 52.602898
8, 10000, 3000, 9998.059926, 53.565338
16, 10000, 3000, 9998.059926, 27.204715
16, 10000, 3000, 9998.059926, 27.037360
16, 10000, 3000, 9998.059926, 27.147620
16, 10000, 3000, 9998.059926, 27.409964
16, 10000, 3000, 9998.059926, 27.242041
32, 10000, 3000, 9490.473318, 20.956922
32, 10000, 3000, 9490.473318, 21.132568
32, 10000, 3000, 9490.473318, 20.965484
32, 10000, 3000, 9490.473318, 21.115461
32, 10000, 3000, 9490.473318, 21.068063
64, 10000, 3000, 9490.473318, 14.450371
64, 10000, 3000, 9490.473318, 14.392646
64, 10000, 3000, 9490.473318, 14.248524
64, 10000, 3000, 9490.473318, 14.211627
64, 10000, 3000, 9490.473318, 14.280968
