n_threads, n_matrix, n_iters, theta, time
1, 10000, 3000, 9998.059926, 275.620085
1, 10000, 3000, 9998.059926, 284.007888
1, 10000, 3000, 9998.059926, 292.515140
1, 10000, 3000, 9998.059926, 286.715798
1, 10000, 3000, 9998.059926, 281.331834
2, 10000, 3000, 9998.059926, 257.780058
2, 10000, 3000, 9998.059926, 207.141257
2, 10000, 3000, 9998.059926, 249.444521
2, 10000, 3000, 9998.059926, 241.287639
2, 10000, 3000, 9998.059926, 232.965095
4, 10000, 3000, 9998.059926, 147.822838
4, 10000, 3000, 9998.059926, 109.665419
4, 10000, 3000, 9998.059926, 122.041901
4, 10000, 3000, 9998.059926, 102.897126
4, 10000, 3000, 9998.059926, 102.171165
8, 10000, 3000, 9998.059926, 55.726259
8, 10000, 3000, 9998.059926, 54.894028
8, 10000, 3000, 9998.059926, 70.081495
8, 10000, 3000, 9998.059926, 69.503669
8, 10000, 3000, 9998.059926, 52.310103
16, 10000, 3000, 9998.059926, 32.398423
16, 10000, 3000, 9998.059926, 32.794529
16, 10000, 3000, 9998.059926, 33.020913
16, 10000, 3000, 9998.059926, 22.305726
16, 10000, 3000, 9998.059926, 32.098533
32, 10000, 3000, 9490.473318, 23.037008
32, 10000, 3000, 9490.473318, 23.141490
32, 10000, 3000, 9490.473318, 23.423082
32, 10000, 3000, 9490.473318, 19.210503
32, 10000, 3000, 9490.473318, 17.258438
64, 10000, 3000, 9490.473318, 11.749015
64, 10000, 3000, 9490.473318, 12.677305
64, 10000, 3000, 9490.473318, 15.028051
64, 10000, 3000, 9490.473318, 14.104508
64, 10000, 3000, 9490.473318, 13.733272
