n_threads, n_matrix, n_iters, theta, time
1, 1000, 3000, 1.000000, 3.338623
1, 1000, 3000, 1.000000, 3.363851
1, 1000, 3000, 1.000000, 3.350936
1, 1000, 3000, 1.000000, 3.363615
1, 1000, 3000, 1.000000, 3.364959
1, 1000, 3000, 1.000000, 3.361816
1, 1000, 3000, 1.000000, 3.657238
1, 1000, 3000, 1.000000, 3.365789
1, 1000, 3000, 1.000000, 3.361613
1, 1000, 3000, 1.000000, 3.363591
2, 1414, 3000, 649.687124, 3.911584
2, 1414, 3000, 649.687124, 3.882321
2, 1414, 3000, 649.687124, 3.645523
2, 1414, 3000, 649.687124, 3.970881
2, 1414, 3000, 649.687124, 3.918942
2, 1414, 3000, 649.687124, 4.252112
2, 1414, 3000, 649.687124, 4.569397
2, 1414, 3000, 649.687124, 4.361738
2, 1414, 3000, 649.687124, 4.367154
2, 1414, 3000, 649.687124, 4.338242
4, 2000, 3000, 378.256253, 4.774507
4, 2000, 3000, 688.053482, 4.770588
4, 2000, 3000, 688.053869, 4.740892
4, 2000, 3000, 687.245710, 4.246089
4, 2000, 3000, 686.028405, 4.636688
4, 2000, 3000, 687.947735, 4.313037
4, 2000, 3000, 653.119036, 4.499415
4, 2000, 3000, 688.053868, 4.468622
4, 2000, 3000, 587.897809, 4.678853
4, 2000, 3000, 392.363299, 3.792058
8, 2828, 3000, 35.465557, 5.105506
8, 2828, 3000, 49.405404, 5.122032
8, 2828, 3000, 530.892985, 5.067037
8, 2828, 3000, 348.019365, 5.129295
8, 2828, 3000, 35.585273, 5.182000
8, 2828, 3000, 41.029410, 4.913548
8, 2828, 3000, 35.012124, 5.215779
8, 2828, 3000, 52.686952, 5.162494
8, 2828, 3000, 109.775571, 4.986815
8, 2828, 3000, 31.259319, 5.214988
16, 4000, 3000, 990.466054, 5.915207
16, 4000, 3000, 18.207164, 4.829005
16, 4000, 3000, 395.475154, 5.289416
16, 4000, 3000, 334.138482, 5.568421
16, 4000, 3000, 944.256178, 5.622598
16, 4000, 3000, 990.466054, 5.649481
16, 4000, 3000, 490.543017, 5.539225
16, 4000, 3000, 990.466035, 5.857659
16, 4000, 3000, 987.519159, 5.653229
16, 4000, 3000, 988.927389, 6.122239
32, 5657, 3000, 44.678871, 6.869959
32, 5657, 3000, 51.466634, 6.542913
32, 5657, 3000, 644.697238, 6.322961
32, 5657, 3000, 27.875014, 6.209331
32, 5657, 3000, 33.303145, 6.161196
32, 5657, 3000, 158.075120, 6.020869
32, 5657, 3000, 30.706386, 6.158370
32, 5657, 3000, 8.355817, 5.580059
32, 5657, 3000, 39.624529, 6.254965
32, 5657, 3000, 96.783383, 6.383443
64, 8000, 3000, 10.045565, 6.873312
64, 8000, 3000, 252.728368, 7.036227
64, 8000, 3000, 573.979127, 6.780771
64, 8000, 3000, 117.843288, 7.056710
64, 8000, 3000, 93.858067, 6.506603
64, 8000, 3000, 4.768542, 6.672040
64, 8000, 3000, 29.716049, 6.722063
64, 8000, 3000, 69.725575, 6.531201
64, 8000, 3000, 977.730786, 5.933845
64, 8000, 3000, 693.658182, 6.439910
