n_threads, n_matrix, n_iters, theta, time
1, 1000, 3000, 999.999868, 3.153549
1, 1000, 3000, 999.999868, 3.093964
1, 1000, 3000, 999.999868, 3.127525
1, 1000, 3000, 999.999868, 3.117298
1, 1000, 3000, 999.999868, 3.151213
1, 1000, 3000, 999.999868, 3.146778
1, 1000, 3000, 999.999868, 3.181380
1, 1000, 3000, 999.999868, 3.164029
1, 1000, 3000, 999.999868, 3.177771
1, 1000, 3000, 999.999868, 3.160635
2, 1414, 3000, 1413.989939, 4.347577
2, 1414, 3000, 1413.989939, 4.239523
2, 1414, 3000, 1413.989939, 4.576658
2, 1414, 3000, 1413.989939, 4.447223
2, 1414, 3000, 1413.989939, 3.887653
2, 1414, 3000, 1413.989939, 3.883464
2, 1414, 3000, 1413.989939, 3.875436
2, 1414, 3000, 1413.989939, 3.952699
2, 1414, 3000, 1413.989939, 4.935735
2, 1414, 3000, 1413.989939, 4.876907
4, 2000, 3000, 1999.980882, 5.082162
4, 2000, 3000, 1999.980882, 4.636844
4, 2000, 3000, 1999.980882, 4.108873
4, 2000, 3000, 1999.980882, 4.168573
4, 2000, 3000, 1999.980882, 4.407446
4, 2000, 3000, 1999.980882, 4.064486
4, 2000, 3000, 1999.980882, 4.693624
4, 2000, 3000, 1999.980882, 4.568917
4, 2000, 3000, 1999.980882, 4.424119
4, 2000, 3000, 1999.980882, 4.565745
8, 2828, 3000, 2602.483329, 4.743822
8, 2828, 3000, 2602.483329, 5.109505
8, 2828, 3000, 2602.483329, 5.121017
8, 2828, 3000, 2602.483329, 5.056939
8, 2828, 3000, 2602.483329, 5.012619
8, 2828, 3000, 2602.483329, 4.965386
8, 2828, 3000, 2602.483329, 4.846491
8, 2828, 3000, 2602.483329, 5.117244
8, 2828, 3000, 2602.483329, 5.347042
8, 2828, 3000, 2602.483329, 5.175615
16, 4000, 3000, 3999.646050, 5.431398
16, 4000, 3000, 3999.646050, 5.649297
16, 4000, 3000, 3999.646050, 5.508748
16, 4000, 3000, 3999.646050, 6.333964
16, 4000, 3000, 3999.646050, 6.528312
16, 4000, 3000, 3999.646050, 6.232093
16, 4000, 3000, 3999.646050, 6.576975
16, 4000, 3000, 3999.646050, 6.830958
16, 4000, 3000, 3999.646050, 6.506481
16, 4000, 3000, 3999.646050, 5.516518
32, 5657, 3000, 5327.576473, 7.492244
32, 5657, 3000, 5327.576473, 6.774213
32, 5657, 3000, 5327.576473, 6.639587
32, 5657, 3000, 5327.576473, 6.438363
32, 5657, 3000, 5327.576473, 6.524815
32, 5657, 3000, 5327.576473, 6.728207
32, 5657, 3000, 5327.576473, 8.037721
32, 5657, 3000, 5327.576473, 8.587633
32, 5657, 3000, 5327.576473, 8.987691
32, 5657, 3000, 5327.576473, 9.018510
64, 8000, 3000, 7997.950002, 8.105488
64, 8000, 3000, 7997.950002, 6.126831
64, 8000, 3000, 7997.950002, 6.228183
64, 8000, 3000, 7997.950002, 5.814887
64, 8000, 3000, 7997.950002, 7.007719
64, 8000, 3000, 7997.950002, 8.930889
64, 8000, 3000, 7997.950002, 9.556396
64, 8000, 3000, 7997.950002, 8.863080
64, 8000, 3000, 7997.950002, 8.207169
64, 8000, 3000, 7997.950002, 8.498733
