n_threads, n_matrix, n_iters, theta, time
1, 1000, 3000, 999.999868, 3.107688
1, 1000, 3000, 999.999868, 2.859986
1, 1000, 3000, 999.999868, 2.872109
1, 1000, 3000, 999.999868, 2.840660
1, 1000, 3000, 999.999868, 2.809480
1, 1000, 3000, 999.999868, 2.810868
1, 1000, 3000, 999.999868, 2.826937
1, 1000, 3000, 999.999868, 2.873085
1, 1000, 3000, 999.999868, 2.963310
1, 1000, 3000, 999.999868, 2.995042
2, 1414, 3000, 1413.989939, 3.295669
2, 1414, 3000, 1413.989939, 3.052725
2, 1414, 3000, 1413.989939, 3.021314
2, 1414, 3000, 1413.989939, 3.042077
2, 1414, 3000, 1413.989939, 3.034097
2, 1414, 3000, 1413.989939, 3.078836
2, 1414, 3000, 1413.989939, 3.038707
2, 1414, 3000, 1413.989939, 3.045492
2, 1414, 3000, 1413.989939, 3.035900
2, 1414, 3000, 1413.989939, 3.064217
4, 2000, 3000, 1999.980882, 4.348873
4, 2000, 3000, 1999.980882, 4.391682
4, 2000, 3000, 1999.980882, 4.613552
4, 2000, 3000, 1999.980882, 4.705100
4, 2000, 3000, 1999.980882, 4.660578
4, 2000, 3000, 1999.980882, 4.180185
4, 2000, 3000, 1999.980882, 4.150338
4, 2000, 3000, 1999.980882, 3.852489
4, 2000, 3000, 1999.980882, 4.888529
4, 2000, 3000, 1999.980882, 4.132275
8, 2828, 3000, 2602.483329, 5.286118
8, 2828, 3000, 2602.483329, 4.540946
8, 2828, 3000, 2602.483329, 4.159282
8, 2828, 3000, 2602.483329, 4.639292
8, 2828, 3000, 2602.483329, 5.158780
8, 2828, 3000, 2602.483329, 4.414963
8, 2828, 3000, 2602.483329, 3.828830
8, 2828, 3000, 2602.483329, 5.368943
8, 2828, 3000, 2602.483329, 4.251591
8, 2828, 3000, 2602.483329, 4.526724
16, 4000, 3000, 3999.646050, 4.532268
16, 4000, 3000, 3999.646050, 4.637961
16, 4000, 3000, 3999.646050, 4.360366
16, 4000, 3000, 3999.646050, 4.381375
16, 4000, 3000, 3999.646050, 4.479877
16, 4000, 3000, 3999.646050, 4.047737
16, 4000, 3000, 3999.646050, 4.452579
16, 4000, 3000, 3999.646050, 4.327732
16, 4000, 3000, 3999.646050, 4.618724
16, 4000, 3000, 3999.646050, 4.396177
32, 5657, 3000, 5327.576473, 4.278120
32, 5657, 3000, 5327.576473, 4.450771
32, 5657, 3000, 5327.576473, 4.021746
32, 5657, 3000, 5327.576473, 4.243334
32, 5657, 3000, 5327.576473, 4.121864
32, 5657, 3000, 5327.576473, 4.500720
32, 5657, 3000, 5327.576473, 4.309258
32, 5657, 3000, 5327.576473, 4.440122
32, 5657, 3000, 5327.576473, 4.512393
32, 5657, 3000, 5327.576473, 4.385130
64, 8000, 3000, 7997.950002, 9.011992
64, 8000, 3000, 7997.950002, 9.525216
64, 8000, 3000, 7997.950002, 8.669067
64, 8000, 3000, 7997.950002, 8.410669
64, 8000, 3000, 7997.950002, 11.223825
64, 8000, 3000, 7997.950002, 8.589360
64, 8000, 3000, 7997.950002, 7.921717
64, 8000, 3000, 7997.950002, 9.954946
64, 8000, 3000, 7997.950002, 8.638365
64, 8000, 3000, 7997.950002, 8.590049
