n_threads, n_matrix, n_iters, theta, time
1, 1000, 3000, 999.999868, 5.623758
1, 1000, 3000, 999.999868, 5.417021
1, 1000, 3000, 999.999868, 5.258048
1, 1000, 3000, 999.999868, 5.287895
1, 1000, 3000, 999.999868, 4.186933
1, 1000, 3000, 999.999868, 4.375825
1, 1000, 3000, 999.999868, 5.335666
1, 1000, 3000, 999.999868, 5.280627
1, 1000, 3000, 999.999868, 5.345198
1, 1000, 3000, 999.999868, 5.378208
2, 1414, 3000, 1413.989939, 4.580173
2, 1414, 3000, 1413.989939, 4.659658
2, 1414, 3000, 1413.989939, 4.290266
2, 1414, 3000, 1413.989939, 3.050781
2, 1414, 3000, 1413.989939, 3.007504
2, 1414, 3000, 1413.989939, 3.024842
2, 1414, 3000, 1413.989939, 2.983525
2, 1414, 3000, 1413.989939, 3.209396
2, 1414, 3000, 1413.989939, 3.611747
2, 1414, 3000, 1413.989939, 5.209359
4, 2000, 3000, 1999.980882, 5.142849
4, 2000, 3000, 1999.980882, 4.712243
4, 2000, 3000, 1999.980882, 6.005197
4, 2000, 3000, 1999.980882, 4.561224
4, 2000, 3000, 1999.980882, 5.727009
4, 2000, 3000, 1999.980882, 4.801230
4, 2000, 3000, 1999.980882, 4.469822
4, 2000, 3000, 1999.980882, 5.084800
4, 2000, 3000, 1999.980882, 4.753678
4, 2000, 3000, 1999.980882, 4.576522
8, 2828, 3000, 2602.483329, 4.483363
8, 2828, 3000, 2602.483329, 4.049132
8, 2828, 3000, 2602.483329, 4.255869
8, 2828, 3000, 2602.483329, 3.648428
8, 2828, 3000, 2602.483329, 4.834815
8, 2828, 3000, 2602.483329, 5.492805
8, 2828, 3000, 2602.483329, 5.976892
8, 2828, 3000, 2602.483329, 6.348640
8, 2828, 3000, 2602.483329, 5.824933
8, 2828, 3000, 2602.483329, 5.510148
16, 4000, 3000, 3999.646050, 9.172109
16, 4000, 3000, 3999.646050, 6.987312
16, 4000, 3000, 3999.646050, 6.448782
16, 4000, 3000, 3999.646050, 8.788310
16, 4000, 3000, 3999.646050, 6.087047
16, 4000, 3000, 3999.646050, 4.248772
16, 4000, 3000, 3999.646050, 5.393766
16, 4000, 3000, 3999.646050, 4.189517
16, 4000, 3000, 3999.646050, 4.196803
16, 4000, 3000, 3999.646050, 4.096333
32, 5657, 3000, 5327.576473, 6.019195
32, 5657, 3000, 5327.576473, 5.861831
32, 5657, 3000, 5327.576473, 6.013905
32, 5657, 3000, 5327.576473, 6.143466
32, 5657, 3000, 5327.576473, 6.066648
32, 5657, 3000, 5327.576473, 6.145226
32, 5657, 3000, 5327.576473, 12.438778
32, 5657, 3000, 5327.576473, 5.986174
32, 5657, 3000, 5327.576473, 5.649510
32, 5657, 3000, 5327.576473, 5.588908
64, 8000, 3000, 7997.950002, 9.556611
64, 8000, 3000, 7997.950002, 9.323754
64, 8000, 3000, 7997.950002, 9.545245
64, 8000, 3000, 7997.950002, 9.300374
64, 8000, 3000, 7997.950002, 9.232319
64, 8000, 3000, 7997.950002, 9.890225
64, 8000, 3000, 7997.950002, 9.818149
64, 8000, 3000, 7997.950002, 9.774082
64, 8000, 3000, 7997.950002, 9.597495
64, 8000, 3000, 7997.950002, 9.462395
