n_threads, n_matrix, n_iters, theta, time
1, 1000, 3000, 999.999868, 3.257287
1, 1000, 3000, 999.999868, 2.850948
1, 1000, 3000, 999.999868, 2.835094
1, 1000, 3000, 999.999868, 2.818333
1, 1000, 3000, 999.999868, 2.794092
1, 1000, 3000, 999.999868, 2.788243
1, 1000, 3000, 999.999868, 2.834015
1, 1000, 3000, 999.999868, 2.810187
1, 1000, 3000, 999.999868, 2.781537
1, 1000, 3000, 999.999868, 2.781096
2, 1414, 3000, 1413.989939, 3.211827
2, 1414, 3000, 1413.989939, 2.949360
2, 1414, 3000, 1413.989939, 2.959530
2, 1414, 3000, 1413.989939, 2.834279
2, 1414, 3000, 1413.989939, 2.962622
2, 1414, 3000, 1413.989939, 2.838428
2, 1414, 3000, 1413.989939, 2.859133
2, 1414, 3000, 1413.989939, 2.864092
2, 1414, 3000, 1413.989939, 2.850024
2, 1414, 3000, 1413.989939, 2.844639
4, 2000, 3000, 1999.980882, 5.221000
4, 2000, 3000, 1999.980882, 5.359041
4, 2000, 3000, 1999.980882, 5.319329
4, 2000, 3000, 1999.980882, 5.207155
4, 2000, 3000, 1999.980882, 5.328039
4, 2000, 3000, 1999.980882, 5.338194
4, 2000, 3000, 1999.980882, 5.361962
4, 2000, 3000, 1999.980882, 5.333010
4, 2000, 3000, 1999.980882, 5.200673
4, 2000, 3000, 1999.980882, 5.342475
8, 2828, 3000, 2602.483329, 4.584045
8, 2828, 3000, 2602.483329, 5.408953
8, 2828, 3000, 2602.483329, 4.803565
8, 2828, 3000, 2602.483329, 5.135619
8, 2828, 3000, 2602.483329, 4.969021
8, 2828, 3000, 2602.483329, 5.149787
8, 2828, 3000, 2602.483329, 4.788245
8, 2828, 3000, 2602.483329, 5.048769
8, 2828, 3000, 2602.483329, 5.410042
8, 2828, 3000, 2602.483329, 5.280346
16, 4000, 3000, 3999.646050, 4.684128
16, 4000, 3000, 3999.646050, 5.272412
16, 4000, 3000, 3999.646050, 5.347149
16, 4000, 3000, 3999.646050, 5.147361
16, 4000, 3000, 3999.646050, 5.568678
16, 4000, 3000, 3999.646050, 5.453635
16, 4000, 3000, 3999.646050, 5.027774
16, 4000, 3000, 3999.646050, 5.653186
16, 4000, 3000, 3999.646050, 5.639551
16, 4000, 3000, 3999.646050, 5.052309
32, 5657, 3000, 5327.576473, 5.129936
32, 5657, 3000, 5327.576473, 7.423319
32, 5657, 3000, 5327.576473, 4.516647
32, 5657, 3000, 5327.576473, 4.361886
32, 5657, 3000, 5327.576473, 4.958495
32, 5657, 3000, 5327.576473, 5.314805
32, 5657, 3000, 5327.576473, 4.470161
32, 5657, 3000, 5327.576473, 4.817228
32, 5657, 3000, 5327.576473, 7.486459
32, 5657, 3000, 5327.576473, 4.602582
64, 8000, 3000, 7997.950002, 32.856298
64, 8000, 3000, 7997.950002, 24.501659
64, 8000, 3000, 7997.950002, 25.774693
64, 8000, 3000, 7997.950002, 16.651118
64, 8000, 3000, 7997.950002, 23.575351
64, 8000, 3000, 7997.950002, 20.230945
64, 8000, 3000, 7997.950002, 11.939329
64, 8000, 3000, 7997.950002, 21.905571
64, 8000, 3000, 7997.950002, 13.096294
64, 8000, 3000, 7997.950002, 14.014669
